GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CarApp,ua.pt.CarApp,CarController,8,38,1,1,1,11,1,4,0,4
CarApp,ua.pt.CarApp,CarAppApplication,5,3,0,0,2,1,1,1,1,1
CarApp,ua.pt.CarApp,CarManagerService,0,22,0,0,0,6,0,4,0,4
CarApp,ua.pt.CarApp,Car,0,33,0,0,0,9,0,8,0,8
